,Name,Price,Rating,Reviews,Address,Latitude,Longitude,Category
850,Sun Fung,1.0,4.1,118.0,"2 Marcy Place, The Bronx",40.8387524,-73.9183596,restaurant
852,Giovanni's Pizza,1.0,3.5,351.0,"76 East 167th Street, The Bronx",40.8351691,-73.9201337,restaurant
854,Happy Dragon,2.0,3.7,64.0,"1279 Walton Avenue, The Bronx",40.83697859999999,-73.9182228,restaurant
855,Dragon Concourse,1.0,3.6,93.0,"74 East 167th Street, The Bronx",40.83520499999999,-73.92016840000001,restaurant
856,Burger King,1.0,3.6,529.0,"1380 Jerome Avenue, The Bronx",40.83962809999999,-73.9178215,restaurant
858,Brisas del Caribe,1.0,4.3,2341.0,"1207 Castle Hill Avenue, The Bronx",40.8321282,-73.8513492,restaurant
859,Taqueria Tlaxcalli,1.0,4.4,1150.0,"2103 Starling Avenue, The Bronx",40.836381,-73.854978,restaurant
860,Lucky Star,1.0,3.7,133.0,"1924 Cross Bronx Expressway, The Bronx",40.8325253,-73.859526,restaurant
861,Domino's Pizza,1.0,2.7,607.0,"2025-2027 Westchester Avenue, The Bronx",40.8338818,-73.8568304,restaurant
862,Circle Pizza,2.0,4.5,350.0,"1926 Cross Bronx Expressway, The Bronx",40.8324539,-73.8592963,restaurant
863,Wendy's,1.0,4.0,2328.0,"2140 Westchester Avenue, The Bronx",40.8338235,-73.85296780000002,restaurant
865,Subway,1.0,3.5,72.0,"1957 Westchester Avenue, The Bronx",40.83370000000001,-73.8589959,restaurant
866,Taco Bell,1.0,3.9,1833.0,"1889 Bruckner Boulevard, The Bronx",40.826375,-73.86065649999999,restaurant
867,IHOP,1.0,4.1,2951.0,"1001 White Plains Road, The Bronx",40.82656879999999,-73.8602635,restaurant
868,Evo Cocktail Lounge & Restaurant,2.0,4.0,726.0,"1306 Unionport Road, The Bronx",40.8345125,-73.8536237,restaurant
873,Jimmy's Grand Cafe,2.0,4.4,3582.0,"1001 Castle Hill Avenue, The Bronx",40.8277033,-73.85033729999999,restaurant
876,El Texano Restaurant,2.0,4.0,210.0,"2031 Westchester Avenue, The Bronx",40.83385790000001,-73.8566451,restaurant
877,eat,,,,"2040 Bruckner Boulevard, The Bronx",40.82604199999999,-73.8543071,restaurant
879,Dunkin',1.0,3.8,280.0,"980 East 233rd Street, The Bronx",40.8904588,-73.8490889,restaurant
880,Subway,1.0,3.6,121.0,"980 East 233rd Street, The Bronx",40.8904682,-73.849152,restaurant
881,Popeyes Louisiana Kitchen,1.0,3.8,467.0,"1201 East 233rd Street, The Bronx",40.8894922,-73.843383,restaurant
882,Big Wong No Delivery,1.0,3.5,89.0,"3975 Laconia Avenue, The Bronx",40.884435,-73.84942769999999,restaurant
883,China King Restaurant,1.0,3.3,36.0,"1213 East 233rd Street, The Bronx",40.8896033,-73.84294009999999,restaurant
885,El Valle,2.0,3.7,314.0,"3452 Boston Road, The Bronx",40.8761885,-73.8483164,restaurant
888,Kennedy Fried Chicken,1.0,3.6,65.0,"3420 Boston Road, The Bronx",40.87573750000001,-73.8496597,restaurant
889,Mandarin House I,,3.8,91.0,"4129 Laconia Avenue, The Bronx",40.8879338,-73.84720159999999,restaurant
890,New Taste,1.0,4.2,135.0,"3973 Bronxwood Avenue, The Bronx",40.8858335,-73.8549969,restaurant
1148,Hamilton's,2.0,4.4,714.0,"2826 Fort Hamilton Parkway, Brooklyn",40.6487114,-73.97731759999999,restaurant
1278,Mocha Hookah,2.0,3.8,291.0,"183 Atlantic Avenue, Brooklyn",40.6902325,-73.9935515,restaurant
1280,Pronto Pizza,2.0,4.0,179.0,"139 Court Street Ste A, Brooklyn",40.689471,-73.99221299999999,restaurant
1282,LuAnne's Wild Ginger,2.0,4.5,516.0,"112 Smith Street, Brooklyn",40.6879056,-73.9898917,restaurant
1284,Henry Public,2.0,4.5,475.0,"329 Henry Street, Brooklyn",40.6902937,-73.9962886,restaurant
1285,Chipotle Mexican Grill,1.0,4.0,812.0,"185 Montague Street, Brooklyn",40.69434930000001,-73.9918306,restaurant
1286,Hadramout,2.0,4.1,773.0,"172 Atlantic Avenue, Brooklyn",40.6899392,-73.99381079999999,restaurant
1290,Chipotle Mexican Grill,1.0,3.8,423.0,"140 Court Street, Brooklyn",40.6892253,-73.9928246,restaurant
1293,Piz-zetta Pizzeria,2.0,4.6,317.0,"90 Livingston Street, Brooklyn",40.6911691,-73.9906319,restaurant
1295,Perelandra Natural Food Center,2.0,4.6,662.0,"175 Remsen Street, Brooklyn",40.6933861,-73.9914028,restaurant
1300,Clover Club,2.0,4.6,804.0,"210 Smith Street, Brooklyn",40.684589,-73.9921382,restaurant
1301,Lucali,2.0,4.3,1951.0,"575 Henry Street, Brooklyn",40.681826,-74.0003184,restaurant
