Distance (m),Name,Neighbourhood,Reviews,Rating,Price,Latitude,Longitude,Borough,Zipcode,Category
931.0,Jerome Pizza,Norwood,,3.274509803921569,1.0,40.87722415599446,-73.8793907395681,Bronx,10458.0,restaurant
667.0,La Cabana 2 Salvadorena Restaurant,Norwood,,3.03921568627451,1.0,40.87722415599446,-73.8793907395681,Bronx,10458.0,restaurant
712.0,La Nueva Estrella,Norwood,,2.960784313725491,3.0,40.87722415599446,-73.8793907395681,Bronx,10458.0,restaurant
497.0,Subway,Norwood,,2.725490196078432,1.0,40.87722415599446,-73.8793907395681,Bronx,10458.0,restaurant
495.0,Golden Krust Caribbean Restaurant,Norwood,,2.6470588235294117,2.0,40.87722415599446,-73.8793907395681,Bronx,10458.0,restaurant
926.0,Bedford Cafe & Restaurant,Norwood,,2.960784313725491,2.0,40.87722415599446,-73.8793907395681,Bronx,10458.0,restaurant
683.0,McDonald's,Norwood,,2.725490196078432,1.0,40.87722415599446,-73.8793907395681,Bronx,10458.0,restaurant
58.0,Mar Y Tierra Resturant & Lounge,Norwood,,,1.0,40.87722415599446,-73.8793907395681,Bronx,10458.0,restaurant
492.0,M & R Pizza,Norwood,,2.254901960784314,1.0,40.87722415599446,-73.8793907395681,Bronx,10458.0,restaurant
238.0,Top Fresh Tortillas,Norwood,,,1.0,40.87722415599446,-73.8793907395681,Bronx,10458.0,restaurant
